Transaction_ID,Product,Category,Quantity,Unit_Price,Date,Store
1,Charger,Gadgets,4,956.9035117465156,2022-06-01,Store_A
2,Laptop,Electronics,5,303.6538311002091,2022-04-04,Store_B
3,Tablet,Gadgets,8,226.92579819103028,2022-08-10,Store_A
4,Laptop,Electronics,4,975.4944484036638,2022-04-22,Store_C
5,Mobile,Gadgets,8,656.7760016542574,2022-03-05,Store_A
6,Laptop,Gadgets,2,269.48824284230005,2022-08-07,Store_C
7,Headphones,Electronics,4,26.79808388856556,2022-09-25,Store_A
8,Tablet,Accessories,1,454.20501168687446,2022-11-02,Store_A
9,Charger,Accessories,8,969.2374171527055,2022-07-08,Store_B
10,Headphones,Accessories,9,231.17674952980704,2022-08-15,Store_C
11,Tablet,Accessories,3,423.0490984531975,2022-09-18,Store_C
12,Tablet,Gadgets,3,394.1528778718504,2022-06-26,Store_A
13,Tablet,Electronics,3,556.241423448504,2022-09-10,Store_A
14,Laptop,Electronics,1,612.6509713284918,2022-05-20,Store_A
15,Laptop,Accessories,6,758.658621031067,2022-01-20,Store_C
16,Headphones,Electronics,3,906.38066124118,2022-06-16,Store_A
17,Headphones,Electronics,9,464.8846147252656,2022-01-19,Store_A
18,Mobile,Electronics,5,972.4667427901778,2022-04-25,Store_B
19,Mobile,Gadgets,1,633.1262370735465,2022-02-20,Store_C
20,Mobile,Electronics,4,18.847302388769158,2022-04-20,Store_A
21,Tablet,Electronics,1,630.1652689764983,2022-08-01,Store_C
22,Charger,Accessories,6,324.1782066797597,2022-02-10,Store_A
23,Mobile,Gadgets,4,627.6897168880276,2022-10-01,Store_C
24,Headphones,Gadgets,4,475.58916415871994,2022-11-21,Store_C
25,Charger,Electronics,2,895.0681716962762,2022-08-04,Store_A
26,Mobile,Electronics,1,432.8465835491221,2022-12-19,Store_C
27,Laptop,Gadgets,7,306.2147653876465,2022-08-03,Store_C
28,Mobile,Electronics,9,45.824623326160676,2022-01-01,Store_B
29,Mobile,Electronics,3,36.085222866991806,2022-05-22,Store_C
30,Tablet,Accessories,4,882.6623694031175,2022-06-07,Store_B
