Date,Time,State,Group,Unit,Sales
01-Oct-20, Morning, WA, Kids,8,20000
01-Oct-20, Morning, WA, Men,8,20000
01-Oct-20, Morning, WA, Women,4,10000
01-Oct-20, Morning, WA, Seniors,15,37500
01-Oct-20, Afternoon, WA, Kids,3,7500
01-Oct-20, Afternoon, WA, Men,10,25000
01-Oct-20, Afternoon, WA, Women,3,7500
01-Oct-20, Afternoon, WA, Seniors,11,27500
01-Oct-20, Evening, WA, Kids,15,37500
01-Oct-20, Evening, WA, Men,15,37500
01-Oct-20, Evening, WA, Women,3,7500
01-Oct-20, Evening, WA, Seniors,10,25000
01-Oct-20, Morning,AZ, Kids,13,32500
01-Oct-20, Morning,AZ, Men,5,12500
01-Oct-20, Morning,AZ, Women,4,10000
01-Oct-20, Morning,AZ, Seniors,10,25000
01-Oct-20, Afternoon,AZ, Kids,13,32500
01-Oct-20, Afternoon,AZ, Men,4,10000
01-Oct-20, Afternoon,AZ, Women,6,15000
01-Oct-20, Afternoon,AZ, Seniors,5,12500
01-Oct-20, Evening,AZ, Kids,13,32500
01-Oct-20, Evening,AZ, Men,8,20000
01-Oct-20, Evening,AZ, Women,9,22500
01-Oct-20, Evening,AZ, Seniors,14,35000
01-Oct-20, Morning,FL, Kids,12,30000
01-Oct-20, Morning,FL, Men,12,30000
01-Oct-20, Morning,FL, Women,16,40000
01-Oct-20, Morning,FL, Seniors,28,70000
01-Oct-20, Afternoon,FL, Kids,16,40000
01-Oct-20, Afternoon,FL, Men,28,70000
01-Oct-20, Afternoon,FL, Women,21,52500
01-Oct-20, Afternoon,FL, Seniors,29,72500
01-Oct-20, Evening,FL, Kids,15,37500
01-Oct-20, Evening,FL, Men,22,55000
01-Oct-20, Evening,FL, Women,32,80000
01-Oct-20, Evening,FL, Seniors,21,52500
01-Oct-20, Morning,KY, Kids,49,122500
01-Oct-20, Morning,KY, Men,36,90000
01-Oct-20, Morning,KY, Women,34,85000
01-Oct-20, Morning,KY, Seniors,26,65000
01-Oct-20, Afternoon,KY, Kids,31,77500
01-Oct-20, Afternoon,KY, Men,26,65000
01-Oct-20, Afternoon,KY, Women,26,65000
01-Oct-20, Afternoon,KY, Seniors,32,80000
01-Oct-20, Evening,KY, Kids,27,67500
01-Oct-20, Evening,KY, Men,43,107500
01-Oct-20, Evening,KY, Women,50,125000
01-Oct-20, Evening,KY, Seniors,44,110000
01-Oct-20, Morning,CA, Kids,20,50000
01-Oct-20, Morning,CA, Men,18,45000
01-Oct-20, Morning,CA, Women,15,37500
01-Oct-20, Morning,CA, Seniors,14,35000
01-Oct-20, Afternoon,CA, Kids,18,45000
01-Oct-20, Afternoon,CA, Men,9,22500
01-Oct-20, Afternoon,CA, Women,10,25000
01-Oct-20, Afternoon,CA, Seniors,14,35000
01-Oct-20, Evening,CA, Kids,11,27500
01-Oct-20, Evening,CA, Men,6,15000
01-Oct-20, Evening,CA, Women,5,12500
01-Oct-20, Evening,CA, Seniors,19,47500
01-Oct-20, Morning,NY, Kids,39,97500
01-Oct-20, Morning,NY, Men,17,42500
01-Oct-20, Morning,NY, Women,34,85000
01-Oct-20, Morning,NY, Seniors,23,57500
01-Oct-20, Afternoon,NY, Kids,40,100000
01-Oct-20, Afternoon,NY, Men,30,75000
01-Oct-20, Afternoon,NY, Women,30,75000
01-Oct-20, Afternoon,NY, Seniors,36,90000
01-Oct-20, Evening,NY, Kids,22,55000
01-Oct-20, Evening,NY, Men,28,70000
01-Oct-20, Evening,NY, Women,30,75000
01-Oct-20, Evening,NY, Seniors,22,55000
01-Oct-20, Morning,TX, Kids,13,32500
01-Oct-20, Morning,TX, Men,6,15000
01-Oct-20, Morning,TX, Women,3,7500
01-Oct-20, Morning,TX, Seniors,8,20000
01-Oct-20, Afternoon,TX, Kids,7,17500
01-Oct-20, Afternoon,TX, Men,6,15000
01-Oct-20, Afternoon,TX, Women,11,27500
01-Oct-20, Afternoon,TX, Seniors,10,25000
01-Oct-20, Evening,TX, Kids,4,10000
01-Oct-20, Evening,TX, Men,10,25000
01-Oct-20, Evening,TX, Women,8,20000
01-Oct-20, Evening,TX, Seniors,7,17500
02-Oct-20, Morning, WA, Kids,10,25000
02-Oct-20, Morning, WA, Men,8,20000
02-Oct-20, Morning, WA, Women,13,32500
02-Oct-20, Morning, WA, Seniors,13,32500
02-Oct-20, Afternoon, WA, Kids,10,25000
02-Oct-20, Afternoon, WA, Men,13,32500
02-Oct-20, Afternoon, WA, Women,8,20000
02-Oct-20, Afternoon, WA, Seniors,6,15000
02-Oct-20, Evening, WA, Kids,7,17500
02-Oct-20, Evening, WA, Men,3,7500
02-Oct-20, Evening, WA, Women,5,12500
02-Oct-20, Evening, WA, Seniors,6,15000
02-Oct-20, Morning,AZ, Kids,5,12500
02-Oct-20, Morning,AZ, Men,13,32500
02-Oct-20, Morning,AZ, Women,13,32500
02-Oct-20, Morning,AZ, Seniors,13,32500
02-Oct-20, Afternoon,AZ, Kids,11,27500
02-Oct-20, Afternoon,AZ, Men,13,32500
02-Oct-20, Afternoon,AZ, Women,8,20000
02-Oct-20, Afternoon,AZ, Seniors,8,20000
02-Oct-20, Evening,AZ, Kids,7,17500
02-Oct-20, Evening,AZ, Men,9,22500
02-Oct-20, Evening,AZ, Women,3,7500
02-Oct-20, Evening,AZ, Seniors,14,35000
02-Oct-20, Morning,FL, Kids,14,35000
02-Oct-20, Morning,FL, Men,13,32500
02-Oct-20, Morning,FL, Women,33,82500
02-Oct-20, Morning,FL, Seniors,19,47500
02-Oct-20, Afternoon,FL, Kids,16,40000
02-Oct-20, Afternoon,FL, Men,19,47500
02-Oct-20, Afternoon,FL, Women,22,55000
02-Oct-20, Afternoon,FL, Seniors,30,75000
02-Oct-20, Evening,FL, Kids,20,50000
02-Oct-20, Evening,FL, Men,23,57500
02-Oct-20, Evening,FL, Women,12,30000
02-Oct-20, Evening,FL, Seniors,23,57500
02-Oct-20, Morning,KY, Kids,42,105000
02-Oct-20, Morning,KY, Men,46,115000
02-Oct-20, Morning,KY, Women,48,120000
02-Oct-20, Morning,KY, Seniors,26,65000
02-Oct-20, Afternoon,KY, Kids,46,115000
02-Oct-20, Afternoon,KY, Men,37,92500
02-Oct-20, Afternoon,KY, Women,36,90000
02-Oct-20, Afternoon,KY, Seniors,27,67500
02-Oct-20, Evening,KY, Kids,42,105000
02-Oct-20, Evening,KY, Men,37,92500
02-Oct-20, Evening,KY, Women,36,90000
02-Oct-20, Evening,KY, Seniors,25,62500
02-Oct-20, Morning,CA, Kids,13,32500
02-Oct-20, Morning,CA, Men,7,17500
02-Oct-20, Morning,CA, Women,12,30000
02-Oct-20, Morning,CA, Seniors,20,50000
02-Oct-20, Afternoon,CA, Kids,10,25000
02-Oct-20, Afternoon,CA, Men,13,32500
02-Oct-20, Afternoon,CA, Women,7,17500
02-Oct-20, Afternoon,CA, Seniors,10,25000
02-Oct-20, Evening,CA, Kids,5,12500
02-Oct-20, Evening,CA, Men,19,47500
02-Oct-20, Evening,CA, Women,9,22500
02-Oct-20, Evening,CA, Seniors,10,25000
02-Oct-20, Morning,NY, Kids,32,80000
02-Oct-20, Morning,NY, Men,35,87500
02-Oct-20, Morning,NY, Women,20,50000
02-Oct-20, Morning,NY, Seniors,15,37500
02-Oct-20, Afternoon,NY, Kids,33,82500
02-Oct-20, Afternoon,NY, Men,37,92500
02-Oct-20, Afternoon,NY, Women,27,67500
02-Oct-20, Afternoon,NY, Seniors,28,70000
02-Oct-20, Evening,NY, Kids,20,50000
02-Oct-20, Evening,NY, Men,39,97500
02-Oct-20, Evening,NY, Women,25,62500
02-Oct-20, Evening,NY, Seniors,29,72500
02-Oct-20, Morning,TX, Kids,4,10000
02-Oct-20, Morning,TX, Men,11,27500
02-Oct-20, Morning,TX, Women,3,7500
02-Oct-20, Morning,TX, Seniors,10,25000
02-Oct-20, Afternoon,TX, Kids,11,27500
02-Oct-20, Afternoon,TX, Men,5,12500
02-Oct-20, Afternoon,TX, Women,4,10000
02-Oct-20, Afternoon,TX, Seniors,15,37500
02-Oct-20, Evening,TX, Kids,11,27500
02-Oct-20, Evening,TX, Men,6,15000
02-Oct-20, Evening,TX, Women,14,35000
02-Oct-20, Evening,TX, Seniors,6,15000
03-Oct-20, Morning, WA, Kids,15,37500
03-Oct-20, Morning, WA, Men,13,32500
03-Oct-20, Morning, WA, Women,6,15000
03-Oct-20, Morning, WA, Seniors,3,7500
03-Oct-20, Afternoon, WA, Kids,9,22500
03-Oct-20, Afternoon, WA, Men,10,25000
03-Oct-20, Afternoon, WA, Women,7,17500
03-Oct-20, Afternoon, WA, Seniors,6,15000
03-Oct-20, Evening, WA, Kids,3,7500
03-Oct-20, Evening, WA, Men,4,10000
03-Oct-20, Evening, WA, Women,13,32500
03-Oct-20, Evening, WA, Seniors,7,17500
03-Oct-20, Morning,AZ, Kids,8,20000
03-Oct-20, Morning,AZ, Men,12,30000
03-Oct-20, Morning,AZ, Women,11,27500
03-Oct-20, Morning,AZ, Seniors,3,7500
03-Oct-20, Afternoon,AZ, Kids,7,17500
03-Oct-20, Afternoon,AZ, Men,11,27500
03-Oct-20, Afternoon,AZ, Women,9,22500
03-Oct-20, Afternoon,AZ, Seniors,3,7500
03-Oct-20, Evening,AZ, Kids,11,27500
03-Oct-20, Evening,AZ, Men,7,17500
03-Oct-20, Evening,AZ, Women,9,22500
03-Oct-20, Evening,AZ, Seniors,12,30000
03-Oct-20, Morning,FL, Kids,19,47500
03-Oct-20, Morning,FL, Men,22,55000
03-Oct-20, Morning,FL, Women,25,62500
03-Oct-20, Morning,FL, Seniors,34,85000
03-Oct-20, Afternoon,FL, Kids,10,25000
03-Oct-20, Afternoon,FL, Men,21,52500
03-Oct-20, Afternoon,FL, Women,11,27500
03-Oct-20, Afternoon,FL, Seniors,10,25000
03-Oct-20, Evening,FL, Kids,31,77500
03-Oct-20, Evening,FL, Men,30,75000
03-Oct-20, Evening,FL, Women,33,82500
03-Oct-20, Evening,FL, Seniors,32,80000
03-Oct-20, Morning,KY, Kids,50,125000
03-Oct-20, Morning,KY, Men,35,87500
03-Oct-20, Morning,KY, Women,49,122500
03-Oct-20, Morning,KY, Seniors,45,112500
03-Oct-20, Afternoon,KY, Kids,42,105000
03-Oct-20, Afternoon,KY, Men,26,65000
03-Oct-20, Afternoon,KY, Women,42,105000
03-Oct-20, Afternoon,KY, Seniors,47,117500
03-Oct-20, Evening,KY, Kids,34,85000
03-Oct-20, Evening,KY, Men,37,92500
03-Oct-20, Evening,KY, Women,39,97500
03-Oct-20, Evening,KY, Seniors,36,90000
03-Oct-20, Morning,CA, Kids,15,37500
03-Oct-20, Morning,CA, Men,12,30000
03-Oct-20, Morning,CA, Women,20,50000
03-Oct-20, Morning,CA, Seniors,17,42500
03-Oct-20, Afternoon,CA, Kids,7,17500
03-Oct-20, Afternoon,CA, Men,16,40000
03-Oct-20, Afternoon,CA, Women,17,42500
03-Oct-20, Afternoon,CA, Seniors,9,22500
03-Oct-20, Evening,CA, Kids,20,50000
03-Oct-20, Evening,CA, Men,19,47500
03-Oct-20, Evening,CA, Women,8,20000
03-Oct-20, Evening,CA, Seniors,7,17500
03-Oct-20, Morning,NY, Kids,32,80000
03-Oct-20, Morning,NY, Men,36,90000
03-Oct-20, Morning,NY, Women,39,97500
03-Oct-20, Morning,NY, Seniors,27,67500
03-Oct-20, Afternoon,NY, Kids,18,45000
03-Oct-20, Afternoon,NY, Men,22,55000
03-Oct-20, Afternoon,NY, Women,33,82500
